date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:18	88147/88147	---M-Z	200	added ('OK')	application/javascript	etag:%2215853-5c42a37007280-gzip%22	https://doccure-html.dreamguystech.com/cosmetics/assets/js/jquery.min.js	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/js/jquery.min.js	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:18	21009/21009	---M-Z	200	added ('OK')	application/javascript	etag:%225211-5c42a37007280-gzip%22	https://doccure-html.dreamguystech.com/cosmetics/assets/js/popper.min.js	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/js/popper.min.js	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:18	60016/60016	---M-Z	200	added ('OK')	application/javascript	etag:%22ea70-5c42a37007280-gzip%22	https://doccure-html.dreamguystech.com/cosmetics/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/js/bootstrap.min.js	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:19	53862/53862	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216b5a-5c42a37007280-gzip%22	https://doccure-html.dreamguystech.com/cosmetics/assets/js/slick.js	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/js/slick.js	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:19	8867/8867	---M-Z	200	added ('OK')	application/javascript	etag:%2222a3-5c42a37007280-gzip%22	https://doccure-html.dreamguystech.com/cosmetics/assets/js/script.js	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/js/script.js	(from https://doccure-html.dreamguystech.com/cosmetics/index.html)
23:56:21	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221ff5a-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400.eot	(from https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/css/all.min.css)
23:56:22	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221ff5a-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/css/all.min.css)
23:56:24	75336/75336	---M--	200	added ('OK')	text/html	etag:%2212648-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400.html	(from https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/css/all.min.css)
23:56:24	88428/88428	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221596c-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400.woff	(from https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/css/all.min.css)
23:56:25	130600/130600	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221fe28-5c42a37007280%22	https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/AppointmentMS/doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	(from https://doccure-html.dreamguystech.com/cosmetics/assets/plugins/fontawesome/css/all.min.css)
